B,trial,sequence,prompt_index,generated_tokens,wall_time_s
32,4,9,5,96,4.102041357999951
32,4,10,6,96,4.102041357999951
32,4,11,7,96,4.102041357999951
32,4,12,8,96,4.102041357999951
32,4,13,9,96,4.102041357999951
32,4,14,10,96,4.102041357999951
32,4,15,11,96,4.102041357999951
32,4,16,12,96,4.102041357999951
32,4,17,13,96,4.102041357999951
32,4,18,14,96,4.102041357999951
32,4,19,15,96,4.102041357999951
32,4,20,16,96,4.102041357999951
32,4,21,17,96,4.102041357999951
32,4,22,18,96,4.102041357999951
32,4,23,19,96,4.102041357999951
32,4,24,20,96,4.102041357999951
32,4,25,21,96,4.102041357999951
32,4,26,22,96,4.102041357999951
32,4,27,23,96,4.102041357999951
32,4,28,24,96,4.102041357999951
32,4,29,25,96,4.102041357999951
32,4,30,26,96,4.102041357999951
32,4,31,27,96,4.102041357999951
32,5,0,28,96,4.072616665999931
32,5,1,29,96,4.072616665999931
32,5,2,30,96,4.072616665999931
32,5,3,31,96,4.072616665999931
32,5,4,32,96,4.072616665999931
32,5,5,33,96,4.072616665999931
32,5,6,34,96,4.072616665999931
32,5,7,35,96,4.072616665999931
32,5,8,36,96,4.072616665999931
32,5,9,37,96,4.072616665999931
32,5,10,38,96,4.072616665999931
32,5,11,39,96,4.072616665999931
32,5,12,40,96,4.072616665999931
32,5,13,41,96,4.072616665999931
32,5,14,42,96,4.072616665999931
32,5,15,43,96,4.072616665999931
32,5,16,44,96,4.072616665999931
32,5,17,45,96,4.072616665999931
32,5,18,46,96,4.072616665999931
32,5,19,47,96,4.072616665999931
32,5,20,48,96,4.072616665999931
32,5,21,49,96,4.072616665999931
32,5,22,50,96,4.072616665999931
32,5,23,51,96,4.072616665999931
32,5,24,52,96,4.072616665999931
32,5,25,53,96,4.072616665999931
32,5,26,54,96,4.072616665999931
32,5,27,55,96,4.072616665999931
32,5,28,56,96,4.072616665999931
32,5,29,57,96,4.072616665999931
32,5,30,58,96,4.072616665999931
32,5,31,59,96,4.072616665999931
32,6,0,60,96,4.0886442969999734
32,6,1,61,96,4.0886442969999734
32,6,2,62,83,4.0886442969999734
32,6,3,63,96,4.0886442969999734
32,6,4,64,96,4.0886442969999734
32,6,5,65,96,4.0886442969999734
32,6,6,66,96,4.0886442969999734
32,6,7,67,96,4.0886442969999734
32,6,8,68,96,4.0886442969999734
32,6,9,69,96,4.0886442969999734
32,6,10,70,96,4.0886442969999734
32,6,11,71,96,4.0886442969999734
32,6,12,72,96,4.0886442969999734
32,6,13,73,96,4.0886442969999734
32,6,14,74,96,4.0886442969999734
32,6,15,75,96,4.0886442969999734
32,6,16,76,96,4.0886442969999734
32,6,17,77,96,4.0886442969999734
32,6,18,78,96,4.0886442969999734
32,6,19,79,96,4.0886442969999734
32,6,20,80,96,4.0886442969999734
32,6,21,81,96,4.0886442969999734
32,6,22,82,96,4.0886442969999734
32,6,23,83,96,4.0886442969999734
